,budget,revenue,runtime,popularity,vote_average,vote_count,imdb_rating,imdb_vote_count
budget,1.0,0.6702959317272796,0.36016839874748524,0.33264141298629957,-0.012136072321720483,0.41748877566689796,-0.007024390753560692,0.29531334955942423
revenue,0.6702959317272796,1.0,0.30598515659920433,0.510110751880046,0.18734869482384547,0.6248023452200421,0.18580875177874773,0.4776752536610795
runtime,0.36016839874748524,0.30598515659920433,1.0,0.2619431062383119,0.3524524715379033,0.32390111974613933,0.39135471416375467,0.387436741246318
popularity,0.33264141298629957,0.510110751880046,0.2619431062383119,1.0,0.3386198555805378,0.3981256254231757,0.2467470639333325,0.3780057047264564
vote_average,-0.012136072321720483,0.18734869482384547,0.3524524715379033,0.3386198555805378,1.0,0.406585443834107,0.8891746590496697,0.47666553831289804
vote_count,0.41748877566689796,0.6248023452200421,0.32390111974613933,0.3981256254231757,0.406585443834107,1.0,0.4543129239387493,0.8980030578002584
imdb_rating,-0.007024390753560692,0.18580875177874773,0.39135471416375467,0.2467470639333325,0.8891746590496697,0.4543129239387493,1.0,0.560406639392844
imdb_vote_count,0.29531334955942423,0.4776752536610795,0.387436741246318,0.3780057047264564,0.47666553831289804,0.8980030578002584,0.560406639392844,1.0
