candidate,mean_inner_macro_f1,mean_macro_f1_delta,partition_wins,mean_recall_class_0_delta,gate_passed
cast,0.7073225350633098,-0.0019003240343440143,2,-0.02571353973423478,False
director,0.7063825556408856,-0.002840303456768245,1,0.035112888375863995,False
production_company,0.7062657033872354,-0.0029571557104184575,1,-0.01212021272210082,False
