entity_group,history_rows,release_date_coverage,budget_coverage,revenue_coverage,financial_pair_coverage,unique_entities,unique_history_movies
director,8022,1.0,0.34766891049613563,0.36948391922213913,0.30092246322612815,848,7587
production_company,98788,1.0,0.17683321860954773,0.2112098635461797,0.13991577924444265,1781,74615
cast,162144,1.0,0.2532440299980264,0.26586861061772254,0.1961898065916716,3651,79915
