,is_successful,log_budget,runtime,release_year,genre_count,production_country_count,production_company_count,is_collection,cast_count,crew_count,theatrical_country_count,release_event_count
is_successful,1.0,-0.01412520727611097,0.055651729377936256,0.0023721077883702042,-0.08982343502199874,-0.10920842519950959,-0.08398423470848076,0.2825109235274173,0.13529843995766383,0.0891775727682011,0.24491685754240788,0.1923002814440935
log_budget,-0.01412520727611097,1.0,0.3202634999191396,0.15405403427342268,0.3494298942877035,-0.10907083456671633,-0.10503769902067416,0.20668694939231227,0.3609443902382822,0.47675316582771593,0.40821239504207163,0.3532449943650774
runtime,0.055651729377936256,0.3202634999191396,1.0,0.16574363514475562,-0.0716020535729598,0.05756714555511737,0.12528428310540402,-0.04027424017076464,0.3973485079874858,0.27367339185053446,0.29073540554178895,0.3323700104246372
release_year,0.0023721077883702042,0.15405403427342268,0.16574363514475562,1.0,0.0649634997780934,-0.0595701767407095,0.015665890403127224,0.07970058867050055,-0.023187415277222848,0.08636085617596763,0.21847713521688936,0.3278559374870226
genre_count,-0.08982343502199874,0.3494298942877035,-0.0716020535729598,0.0649634997780934,1.0,0.02438348098684733,-0.06769655203785828,0.12635005496442756,-0.05674348373625979,0.13937031943381853,0.07044445635981557,0.07821463728591514
production_country_count,-0.10920842519950959,-0.10907083456671633,0.05756714555511737,-0.0595701767407095,0.02438348098684733,1.0,0.46124512737044954,-0.10019875976608705,-0.07567355916470697,-0.047649837660436886,-0.046222820909976425,-0.02971683034823543
production_company_count,-0.08398423470848076,-0.10503769902067416,0.12528428310540402,0.015665890403127224,-0.06769655203785828,0.46124512737044954,1.0,-0.12003541082494336,0.016658479168834308,0.00016149710742230353,0.003409088790806932,-0.015541457158887351
is_collection,0.2825109235274173,0.20668694939231227,-0.04027424017076464,0.07970058867050055,0.12635005496442756,-0.10019875976608705,-0.12003541082494336,1.0,0.07708299820231805,0.16524371334158172,0.1677768119601661,0.132095629323311
cast_count,0.13529843995766383,0.3609443902382822,0.3973485079874858,-0.023187415277222848,-0.05674348373625979,-0.07567355916470697,0.016658479168834308,0.07708299820231805,1.0,0.2987274577353947,0.20480891818465732,0.17105410490389103
crew_count,0.0891775727682011,0.47675316582771593,0.27367339185053446,0.08636085617596763,0.13937031943381853,-0.047649837660436886,0.00016149710742230353,0.16524371334158172,0.2987274577353947,1.0,0.42465502804954597,0.3951024501216084
theatrical_country_count,0.24491685754240788,0.40821239504207163,0.29073540554178895,0.21847713521688936,0.07044445635981557,-0.046222820909976425,0.003409088790806932,0.1677768119601661,0.20480891818465732,0.42465502804954597,1.0,0.9067060182321391
release_event_count,0.1923002814440935,0.3532449943650774,0.3323700104246372,0.3278559374870226,0.07821463728591514,-0.02971683034823543,-0.015541457158887351,0.132095629323311,0.17105410490389103,0.3951024501216084,0.9067060182321391,1.0
