outer_fold,rows,threshold,macro_f1,f1_class_0,f1_class_1,recall_class_0,recall_class_1,balanced_accuracy
1,330,0.56,0.7603485838779956,0.6666666666666666,0.8540305010893247,0.6979166666666666,0.8376068376068376,0.7677617521367521
2,329,0.54,0.716604823747681,0.6020408163265306,0.8311688311688312,0.6210526315789474,0.8205128205128205,0.7207827260458839
3,329,0.53,0.7188034188034188,0.6,0.8376068376068376,0.6,0.8376068376068376,0.7188034188034188
4,329,0.51,0.7133094844982573,0.5869565217391305,0.8396624472573839,0.5684210526315789,0.8504273504273504,0.7094242015294647
5,329,0.57,0.6873974259307247,0.5686274509803921,0.8061674008810573,0.6041666666666666,0.7854077253218884,0.6947871959942775
