,budget,revenue,runtime,popularity,vote_average,vote_count,imdb_rating,imdb_vote_count
budget,1.0,0.7452120401532193,0.3202634999191396,0.3307792121552934,-0.062357631899289945,0.457359126973113,-0.06448643518744865,0.35193282828020384
revenue,0.7452120401532193,1.0,0.2856414973010621,0.4632606544624356,0.09472839499200984,0.6398148214597587,0.10831301952919738,0.5290415032611777
runtime,0.3202634999191396,0.2856414973010621,1.0,0.2549690311426326,0.35713096630025415,0.30906736029219634,0.3783855959710808,0.4012233154990671
popularity,0.3307792121552934,0.4632606544624356,0.2549690311426326,1.0,0.3940146452224174,0.5058613543784125,0.289575218742287,0.4261039187961005
vote_average,-0.062357631899289945,0.09472839499200984,0.35713096630025415,0.3940146452224174,1.0,0.3461493301248065,0.8870086824083943,0.42096235591111364
vote_count,0.457359126973113,0.6398148214597587,0.30906736029219634,0.5058613543784125,0.3461493301248065,1.0,0.4200366531180783,0.9015485786098991
imdb_rating,-0.06448643518744865,0.10831301952919738,0.3783855959710808,0.289575218742287,0.8870086824083943,0.4200366531180783,1.0,0.5754440137201349
imdb_vote_count,0.35193282828020384,0.5290415032611777,0.4012233154990671,0.4261039187961005,0.42096235591111364,0.9015485786098991,0.5754440137201349,1.0
