variable,dataset,count,mean,median,std,min,q1,q3,max,skewness
budget,movies_cleaned,1742,69163613.30195178,48000000.0,68667046.84960033,3.0,17625000.0,100000000.0,658800000.0,1.7468370924828176
revenue,movies_cleaned,1758,240679652.778157,139713021.5,304376261.042876,7.0,48141311.75,314988143.25,2923706026.0,2.8879483965660193
runtime,movies_cleaned,2525,104.45544554455445,105.0,30.47204063643001,1.0,92.0,120.0,330.0,-0.5917501087098553
popularity,movies_cleaned,2597,6.87097970735464,5.1421,6.604919458377135,0.3727,3.665,7.5548,125.2883,6.748135850933059
vote_average,movies_cleaned,2597,6.181679245283019,6.671,2.033843815620359,0.0,5.986,7.3,10.0,-1.989837502381307
vote_count,movies_cleaned,2597,4132.382364266461,2405.0,5315.76425628475,0.0,82.0,5898.0,40311.0,2.194684085754986
imdb_rating,movies_cleaned,2357,6.527535002121341,6.6,1.0818072226034765,1.8,6.0,7.3,9.1,-0.7829548576595602
imdb_vote_count,movies_cleaned,2357,217381.4132371659,130833.0,290444.4836288968,5.0,13964.0,293180.0,3187976.0,3.0536898331699094
revenue_to_budget,movies_modeling,1646,12.619438571521869,3.0997219142857144,317.6728768390478,8.333333333333333e-05,1.7603779764705882,5.329876899734849,12890.386666666667,40.54557281264492
