entity_group,outer_fold,validation_movies,entity_match_rate,unseen_movie_rate,at_least_1_history_rate,at_least_2_history_rate,at_least_3_history_rate,at_least_5_history_rate,mature_financial_history_rate,mean_entities_with_history,median_prior_movie_count
cast,3.0,329.2,1.0,0.001821866077185226,0.9981781339228147,0.9963544257161278,0.9957483651100671,0.9927088514322557,0.9829860919222622,4.804345583494519,161.1
director,3.0,329.2,1.0,0.05830524085843235,0.9416947591415676,0.8590678824721378,0.7648853274385189,0.5753283595836788,0.7558073132541218,1.0073003592152527,5.6
production_company,3.0,329.2,1.0,0.00547112462006079,0.9945288753799393,0.9866316662061344,0.9829860919222622,0.9726554296767063,0.9732633324122686,3.2581302385557707,249.7
