outer_fold,control_threshold,control_macro_f1,control_recall_class_0,candidate_threshold,candidate_macro_f1,candidate_recall_class_0,macro_f1_delta,recall_class_0_delta
1,0.56,0.710459354493103,0.6246719160104987,0.54,0.7058535762483131,0.5800524934383202,-0.004605778244789915,-0.044619422572178435
2,0.54,0.7065427791842782,0.6151832460732984,0.59,0.7116712523298128,0.6832460732984293,0.005128473145534551,0.0680628272251309
3,0.53,0.707954451452258,0.5942408376963351,0.57,0.7055488347305219,0.6308900523560209,-0.0024056167217361146,0.03664921465968585
4,0.51,0.7052449426112668,0.5706806282722513,0.51,0.7059442228837837,0.5785340314136126,0.0006992802725168668,0.007853403141361293
5,0.57,0.7159127677473629,0.6509186351706037,0.52,0.7234001328022188,0.5958005249343832,0.007487365054855921,-0.055118110236220486
