release_month,movie_count,success_rate
1,74,0.7567567567567568
2,95,0.7368421052631579
3,135,0.7333333333333333
4,102,0.6862745098039216
5,143,0.7482517482517482
6,159,0.7358490566037735
7,156,0.7307692307692307
8,134,0.7014925373134329
9,148,0.6418918918918919
10,170,0.6411764705882353
11,147,0.6802721088435374
12,183,0.7540983606557377
