tmdb_id,success,outer_fold,probability_success,threshold,prediction,title,release_year,budget,revenue,revenue_to_budget,error_type,distance_to_target_boundary
7512,0,3,0.5585995316505432,0.53,1,Idiocracy,2006,30000000.0,495303.0,0.0165101,false_positive,1.9834899
7518,1,4,0.7630976438522339,0.51,1,Over the Hedge,2006,80000000.0,343397247.0,4.2924655875,correct,2.2924655874999997
7551,1,5,0.5470706820487976,0.57,0,Déjà Vu,2006,75000000.0,180557550.0,2.407434,false_negative,0.40743399999999985
7552,1,5,0.6190004944801331,0.57,1,Fun with Dick and Jane,2005,100000000.0,202026112.0,2.02026112,correct,0.0202611199999998
7555,1,2,0.6199465990066528,0.54,1,Rambo,2008,50000000.0,113200000.0,2.264,correct,0.2639999999999998
7980,0,2,0.5720118880271912,0.54,1,The Lovely Bones,2009,65000000.0,93600000.0,1.44,false_positive,0.56
7985,0,1,0.2491105645895004,0.56,0,Penelope,2007,15000000.0,21156270.0,1.410418,correct,0.589582
8007,1,2,0.6861593723297119,0.54,1,Behind Enemy Lines,2001,40000000.0,91753202.0,2.29383005,correct,0.29383004999999995
8055,1,4,0.7578835487365723,0.51,1,The Reader,2008,32000000.0,108902486.0,3.4032026875,correct,1.4032026874999999
8204,0,3,0.2554202079772949,0.53,0,The Spiderwick Chronicles,2008,90000000.0,164200000.0,1.8244444444444443,correct,0.1755555555555557
8247,1,5,0.1860878467559814,0.57,0,Jumper,2008,85000000.0,222231186.0,2.6144845411764708,false_negative,0.6144845411764708
8271,1,4,0.7858172059059143,0.51,1,Disturbia,2007,20000000.0,117760134.0,5.8880067,correct,3.8880067
8273,1,5,0.9538438320159912,0.57,1,American Wedding,2003,55000000.0,231449203.0,4.208167327272728,correct,2.2081673272727276
8277,0,5,0.5749648809432983,0.57,1,American Pie Presents: Beta House,2007,10000000.0,18610260.0,1.861026,false_positive,0.13897399999999993
8292,1,3,0.4258998930454254,0.53,0,Four Brothers,2005,45000000.0,92374674.0,2.0527705333333333,false_negative,0.05277053333333326
8326,1,3,0.7419201731681824,0.53,1,Holes,2003,20000000.0,71406573.0,3.57032865,correct,1.57032865
8329,1,3,0.8496066927909851,0.53,1,[REC],2007,1500000.0,32511655.0,21.674436666666665,correct,19.674436666666665
8355,1,4,0.9504234790802002,0.51,1,Ice Age: Dawn of the Dinosaurs,2009,90000000.0,886686817.0,9.852075744444443,correct,7.852075744444443
8358,1,5,0.4667136371135711,0.57,0,Cast Away,2000,90000000.0,429632142.0,4.773690466666666,false_negative,2.7736904666666664
8363,1,1,0.7874818444252014,0.56,1,Superbad,2007,20000000.0,170800000.0,8.54,correct,6.539999999999999
8452,0,3,0.2913302183151245,0.53,0,The 6th Day,2000,82000000.0,96085477.0,1.1717741097560976,correct,0.8282258902439024
