release_group,is_collection,movie_count,success_rate
0-5 markets,0,28,0.21428571428571427
0-5 markets,1,14,0.42857142857142855
6-15 markets,0,146,0.4452054794520548
6-15 markets,1,64,0.609375
16-30 markets,0,278,0.6223021582733813
16-30 markets,1,168,0.8511904761904762
>30 markets,0,485,0.6536082474226804
>30 markets,1,463,0.9071274298056156
